TypeScript,Assess, Languages & Frameworks, day5, YW
Capturing client-side JavaScript errors, Adopt, Techniques, day5, CH
Storm, Assess, Platforms, day5, HX
Akka, Assess, Platforms, day5, HX
Backend-as-a-service, Assess, Platforms, day4, JY
Reactive Language Extensions, Trial, Languages & Frameworks, day4, HK
Web Components standard, Assess, Platforms, day4, TZ
Spdy, Assess, Platforms, day4, TZ
HTML5 storage instead of cookies, Trial, Techniques, day4, ZX
Go Lang,Trial, Languages & Frameworks, day4,SW

Velocity as Productivity, Hold, Techniques, day3, KF
CoffeeScript, Trial, Languages & Frameworks, day3, JK
Grunt.js,Trial, Tools, day3, WS
D3, Adopt, Tools, day3, SS
Clojure, Adopt, Languages & Frameworks, day3, WJ
Icon fonts, Trial, Tools, day3,LZ

Windows infrastructure automation, Adopt, Techniques, day2, HK
Dependency management for javascript, Adopt, Tools, day2, KF
Dropwizard,Adopt, Languages & Frameworks, day2, Q
Sinatra,Adopt, Languages & Frameworks, day2, ZQ
OWIN, Assess, Languages & Frameworks, day2, LX
Heavyweight test tools, Hold, Tools, day1, KF
Development environments in the cloud, Assess, Techniques,day1, HK
Focus on mean time to recovery, Assess, Techniques, day1, JY
Elastic Search, Adopt, Platforms, day1, CH
